Year,Primary Enrollment,GDP
2001,2534796.0,568.386290532649
2002,2399250.0,530.53044625893
2003,2361588.0,478.007604434538
2004,2637052.6,482.998451486038
2005,2637052.6,476.555402524382
2006,2637052.6,447.854739946441
2007,2637052.6,431.787258728843
2008,2637052.6,356.693234400305
2009,2637052.6,771.599032295455
2010,2637052.6,948.331481033457
2011,2637052.6,1093.65340855817
2012,2666451.0,1304.96801065699
2013,2663187.0,1429.99846146678
2014,2637052.6,1434.89627731806
2015,2658415.0,1445.06970213198
2016,2662010.0,1464.58895715841
2017,2676485.0,1235.18903192064
2018,2725970.0,1254.64226494434
2019,2789692.0,1316.74065692871
2020,2869735.0,1214.50982023534
